"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.063413073E1,7.492120564E-2,-1.334171295E-1,6.530411541E-2
3.065884997E1,-1.462785006E-1,-1.745689392E0,-4.600476474E-2
3.068356921E1,-6.537595391E-2,-3.071706772E0,-1.006281003E-1
3.070828845E1,-1.727385819E-1,-3.951346397E0,-4.857694358E-2
3.073300769E1,-7.381024957E-2,-4.313808441E0,-9.463209659E-2
3.075775744E1,-1.330253184E-1,-4.127992630E0,-1.000177860E-2
3.078247668E1,-1.474681944E-1,-3.410822868E0,-4.380666092E-2
3.080722644E1,-2.143360078E-1,-2.209561348E0,-6.091725081E-2
3.083194568E1,-2.334261239E-1,-6.396226883E-1,5.704753846E-2
3.085666491E1,-6.573804468E-2,9.975309372E-1,2.250902355E-3
3.088141467E1,2.105998695E-1,2.534064293E0,1.241363734E-1
3.090613391E1,4.630185664E-1,3.720151901E0,-4.657313228E-3
3.093082263E1,7.167325020E-1,4.446681976E0,1.610481739E-2
3.095554187E1,5.559731722E-1,4.484615326E0,1.424321532E-2
3.098026110E1,4.232247770E-1,3.884711266E0,-7.900664210E-2
3.100498034E1,5.208401382E-2,2.745589256E0,2.199411392E-4
3.102973010E1,-1.900026500E-1,1.234904289E0,-6.886540353E-2
3.105444934E1,-2.814416289E-1,-3.645515442E-1,6.475561857E-2
3.107916858E1,-2.236850411E-1,-1.846474648E0,-1.944828033E-2
3.110388781E1,-1.634150445E-1,-3.057326317E0,4.156136513E-2
3.112863757E1,-1.089317575E-1,-3.859939575E0,7.099635899E-2
3.115335681E1,-1.114582717E-1,-4.160332680E0,1.739126742E-1
3.117807605E1,-1.043413728E-1,-3.909848213E0,1.085549295E-1
3.120279528E1,-1.400575489E-1,-3.108868599E0,2.005146444E-1
3.122751452E1,-1.558923870E-1,-1.913965225E0,1.766594052E-1
3.125223376E1,-2.032983601E-1,-4.418497086E-1,3.036664724E-1
3.127695300E1,-1.055269986E-1,1.184068680E0,1.272618622E-1
3.130167224E1,-6.739518046E-2,2.574732780E0,1.262542009E-1
3.132642199E1,1.447269917E-1,3.686535835E0,-2.516635060E-1
3.135117175E1,2.656148374E-1,4.263241768E0,-3.028724492E-1
3.137589099E1,2.678765953E-1,4.254014015E0,-2.951183021E-1
3.140061023E1,2.411802411E-1,3.609039307E0,-1.842253208E-1
3.142532946E1,-1.315891743E-3,2.458925247E0,1.083229482E-1
3.145004870E1,-1.262964904E-1,1.044680595E0,9.396441281E-2
3.147476794E1,-2.850499749E-1,-5.114746094E-1,1.494200528E-1
3.149948718E1,-1.886253357E-1,-1.993607521E0,-2.250365913E-3
3.152420642E1,-2.179201245E-1,-3.108225822E0,-2.973826602E-3
3.154892566E1,-1.354668885E-1,-3.812980652E0,-1.987720653E-2
3.157364489E1,-1.543529481E-1,-4.010583878E0,-8.763650432E-3
3.159839465E1,-8.859196305E-2,-3.736927032E0,-3.575046733E-2
3.162314441E1,-1.514109969E-1,-2.916556358E0,-1.772150211E-2
3.164786364E1,-1.171977371E-1,-1.691640854E0,-8.709616959E-2
3.167258288E1,-1.017131433E-1,-1.742877960E-1,2.662971988E-2
3.169730212E1,8.548478782E-2,1.316377640E0,-1.507807225E-1
3.172202136E1,1.745543033E-1,2.666440964E0,-3.088817000E-2
3.174674060E1,4.651536942E-1,3.727848053E0,-2.865862846E-1
3.177145984E1,4.243713915E-1,4.171998978E0,-2.440188378E-1
3.179617907E1,3.726471663E-1,4.026535988E0,-2.345790714E-1
3.182092883E1,1.091490090E-1,3.305333138E0,-2.353325784E-1
3.184564807E1,-4.703430086E-2,2.175842285E0,-4.538520426E-2
3.187036731E1,-1.635947973E-1,7.748517990E-1,-4.166138545E-2
3.189508654E1,-1.510408521E-1,-7.811174393E-1,1.085362434E-1
3.191980578E1,-3.852549940E-2,-2.068251610E0,3.216357902E-2
3.194455554E1,3.535905108E-2,-3.124963760E0,2.505775541E-2
3.196927478E1,8.715934306E-2,-3.749353409E0,8.353301138E-2
3.199402453E1,1.098951697E-1,-3.835931778E0,7.092155516E-2
3.201877429E1,5.061279610E-2,-3.458580017E0,7.369941473E-2
3.204346301E1,5.967513099E-2,-2.596817970E0,4.733036458E-2
3.206818225E1,-9.059218317E-2,-1.412407875E0,2.988950908E-2
3.209290149E1,-9.001152217E-2,3.125858307E-2,4.562613368E-2
3.211762072E1,-1.760782301E-1,1.453636169E0,-3.495836258E-2
3.214233996E1,-6.894738972E-2,2.717123985E0,-1.163053215E-1
3.216705920E1,2.561834455E-2,3.570655823E0,-9.522736073E-4
3.219180896E1,1.377188861E-1,4.015345573E0,-9.750288725E-2
3.221655871E1,3.032104969E-1,3.815293312E0,5.081573129E-2
3.224127795E1,2.449580133E-1,3.075237274E0,1.020142138E-1
3.226599719E1,2.347862422E-1,1.940930367E0,1.307225525E-1
3.229071643E1,4.493460059E-2,5.203275681E-1,1.751431227E-1
3.231543566E1,-2.061693370E-2,-8.698177338E-1,6.811687350E-2
3.234015490E1,-1.478468776E-1,-2.244296074E0,1.222056448E-1
3.236487414E1,-1.245984808E-1,-3.171024323E0,1.653665304E-2
3.238962390E1,-1.818138808E-1,-3.714669228E0,2.583211660E-2
3.241431262E1,-2.246521860E-1,-3.724844933E0,4.846762866E-2
3.243903186E1,-3.177039325E-1,-3.303802490E0,5.122566968E-2
3.246378161E1,-3.544999361E-1,-2.402678490E0,1.331361532E-1
3.248850085E1,-3.815709651E-1,-1.160813332E0,7.499939948E-2
3.251322009E1,-2.750784457E-1,2.804880142E-1,1.530551910E-1
3.253793933E1,-7.288408279E-2,1.652226448E0,4.980891943E-3
3.256265857E1,2.616483867E-1,2.865406036E0,-6.926408410E-2
3.258737780E1,5.433757305E-1,3.675393105E0,-1.990810186E-1
3.261209704E1,6.371626854E-1,3.942523003E0,-3.040598035E-1
3.263684680E1,4.640501142E-1,3.632506371E0,-1.461182982E-1
3.266156604E1,1.356229186E-1,2.760219574E0,-1.525067091E-1
3.268628528E1,-1.411219090E-1,1.574324608E0,-1.904724166E-2
3.271100451E1,-3.103499711E-1,1.479120255E-1,4.849956185E-2
3.273572375E1,-3.114264309E-1,-1.152054787E0,4.360544309E-2
3.276047351E1,-2.323866040E-1,-2.390954018E0,-1.677236333E-2
3.278519274E1,-1.301663965E-1,-3.200482368E0,-1.036997959E-1
3.280991198E1,-6.547208130E-2,-3.593175888E0,-8.726476133E-2
3.283466174E1,2.517795376E-2,-3.541027069E0,-6.400869787E-2
3.285938098E1,3.887183964E-2,-3.020902634E0,-1.148237512E-1
3.288410022E1,9.193670750E-2,-2.085000038E0,-1.590147465E-1
3.290881945E1,1.068207845E-1,-8.482189178E-1,-8.639737964E-2
3.293353869E1,1.724777222E-1,5.431423187E-1,1.941367239E-2
3.295825793E1,2.124372423E-1,1.856884956E0,8.937647194E-2
3.298297717E1,1.938110739E-1,2.907759666E0,2.470923960E-2
3.300769641E1,1.582221836E-1,3.495902061E0,7.749119401E-2
3.303244616E1,1.414599121E-1,3.720314026E0,-1.813039184E-1
3.305719592E1,1.037520766E-1,3.321010590E0,-8.166918159E-2
3.308189243E1,1.136337891E-1,2.505704880E0,-1.094816774E-1
3.310664219E1,-5.190566182E-3,1.335802078E0,-1.132705808E-1
3.313136143E1,5.163997412E-4,1.846790314E-2,-1.242664456E-2
3.315605015E1,3.524666280E-2,-1.275751114E0,-5.566886067E-2
3.318076939E1,5.060167611E-2,-2.435123444E0,9.797613323E-2
3.320548862E1,4.868910089E-2,-3.156372070E0,1.344142109E-2
3.323023838E1,3.701383248E-2,-3.524852753E0,1.327099204E-1
3.325495762E1,-8.219133317E-2,-3.357818604E0,1.283212006E-1
3.327967686E1,-9.818698466E-2,-2.791069031E0,1.334185302E-1
3.330439609E1,-2.326078564E-1,-1.860608101E0,2.714557946E-1
3.332911533E1,-2.430214882E-1,-5.957136154E-1,1.531782299E-1
3.335383457E1,-2.634019852E-1,7.208499908E-1,1.932125092E-1
3.337855381E1,-9.862677753E-2,1.956289291E0,-3.880196810E-2
3.340327305E1,4.026633501E-2,2.967431068E0,-2.103846669E-1
3.342802280E1,2.523394227E-1,3.523690224E0,-2.140312493E-1
3.345274204E1,3.230862319E-1,3.618461609E0,-2.633519471E-1
3.347746128E1,2.397800386E-1,3.136348724E0,6.444996595E-2
3.350218052E1,1.239642799E-1,2.280661583E0,1.333226562E-1
3.352689976E1,-8.250191808E-2,1.068435669E0,1.925903261E-1
3.355164951E1,-1.282931119E-1,-3.166379929E-1,1.671351194E-1
3.357636875E1,-2.453525513E-1,-1.549023628E0,5.842366815E-2
3.360108799E1,-1.666884720E-1,-2.553595543E0,-1.084511727E-2
3.362583774E1,-1.911095679E-1,-3.182975769E0,-1.299595684E-1
3.365055698E1,-1.130143106E-1,-3.417082787E0,-5.318146199E-2
3.367527622E1,-1.545406282E-1,-3.190658569E0,-8.679918200E-2
3.369999546E1,-1.608064473E-1,-2.521843910E0,-1.183189601E-1
3.372471470E1,-1.602587253E-1,-1.549531937E0,-3.033942543E-2
3.374943394E1,-1.300612390E-1,-3.052530289E-1,4.157679528E-2
3.377415317E1,-4.422776401E-2,9.517145157E-1,6.806847453E-2
3.379887241E1,1.262967288E-1,2.151023865E0,5.250199139E-2
3.382362217E1,2.271226496E-1,3.000581741E0,-5.319880322E-2
3.384834141E1,3.721611500E-1,3.461835861E0,-2.218060493E-1
3.387306064E1,3.395641446E-1,3.394736290E0,-3.115219474E-1
3.389781040E1,2.834181786E-1,2.870326996E0,-3.255144656E-1
3.392252964E1,1.725569069E-1,1.929060936E0,-2.455803305E-1
3.394724888E1,1.457563788E-2,7.566394806E-1,-1.460703015E-1
3.397196812E1,-1.218826231E-2,-5.054588318E-1,-3.511893004E-2
3.399668735E1,-9.770087898E-2,-1.674385071E0,-4.208663478E-3
3.402143711E1,-3.043999523E-2,-2.615130424E0,-2.333484590E-3
3.404615635E1,-4.820150882E-2,-3.154201508E0,3.657831997E-2
3.407087559E1,-3.439415991E-2,-3.291790962E0,7.549358159E-2
3.409559482E1,-4.949177057E-2,-2.968281746E0,2.917706966E-2
3.412031406E1,-4.333706200E-2,-2.333254814E0,6.711104512E-2
3.414503330E1,-3.793374449E-2,-1.287037849E0,8.292683959E-2
3.416978306E1,-5.330774933E-3,-9.152603149E-2,3.090776503E-2
3.419453281E1,1.364388019E-1,1.206006050E0,-5.809162557E-2
3.421925205E1,2.721873522E-1,2.264650345E0,-1.641408801E-1
3.424397129E1,3.270258904E-1,3.054714203E0,-1.765158176E-1
3.426869053E1,4.083105922E-1,3.368404388E0,-1.904934049E-1
3.429340977E1,2.213149369E-1,3.238527298E0,1.956436038E-2
3.431812900E1,1.108540744E-1,2.617675781E0,1.086103916E-1
3.434284824E1,-1.210456342E-1,1.637429237E0,2.010422349E-1
3.436756748E1,-1.860964894E-1,4.802703857E-1,2.378441095E-1
3.439228672E1,-2.161409855E-1,-7.369422913E-1,1.668744534E-1
3.441703648E1,-1.508144140E-1,-1.846063614E0,1.083628833E-1
3.444175571E1,-1.152456701E-1,-2.670257568E0,3.805521131E-2
3.446647495E1,-4.927213490E-2,-3.117141724E0,-3.373324871E-4
3.449119419E1,-3.466314077E-2,-3.159306526E0,9.275570512E-3
3.451591343E1,-2.269509435E-2,-2.769509315E0,4.784779251E-2
3.454066318E1,-9.076781571E-2,-1.999443054E0,1.390490383E-1
