Time,,delta time,accel (Filtered)
9/28/2018 15:36:54.371097,3620993866.4231,0.051995669491589,0.011325
9/28/2018 15:36:54.371598,3620993866.9241,0.052496697753668,0.011506
9/28/2018 15:36:54.372099,3620993867.4251,0.052997726015747,0.011768
9/28/2018 15:36:54.372600,3620993867.9261,0.053498754277825,0.012102
9/28/2018 15:36:54.373101,3620993868.4271,0.053999782539904,0.012499
9/28/2018 15:36:54.373602,3620993868.9281,0.054500810801983,0.012946
9/28/2018 15:36:54.374095,3620993869.4291,0.054993666708469,0.013426
9/28/2018 15:36:54.374596,3620993869.9301,0.055494694970548,0.013918
9/28/2018 15:36:54.375097,3620993870.4311,0.055995723232627,0.014408
9/28/2018 15:36:54.375598,3620993870.9321,0.056496751494706,0.014878
9/28/2018 15:36:54.376099,3620993871.4331,0.056997779756785,0.015314
9/28/2018 15:36:54.376601,3620993871.9341,0.057499436661601,0.015696
9/28/2018 15:36:54.377102,3620993872.4351,0.05800046492368,0.01601
9/28/2018 15:36:54.377603,3620993872.9361,0.058501493185759,0.016244
9/28/2018 15:36:54.378095,3620993873.4371,0.058993720449507,0.01639
9/28/2018 15:36:54.378596,3620993873.9381,0.059494748711586,0.016442
9/28/2018 15:36:54.379098,3620993874.4391,0.059996405616403,0.016397
9/28/2018 15:36:54.379599,3620993874.9401,0.060497433878481,0.016253
9/28/2018 15:36:54.380100,3620993875.4411,0.06099846214056,0.016014
9/28/2018 15:36:54.380601,3620993875.9421,0.061499490402639,0.015692
9/28/2018 15:36:54.381102,3620993876.4431,0.062000518664718,0.015299
9/28/2018 15:36:54.381594,3620993876.9441,0.062493374571204,0.014852
9/28/2018 15:36:54.382096,3620993877.4451,0.062994402833283,0.014367
9/28/2018 15:36:54.382597,3620993877.9461,0.063495431095362,0.013863
9/28/2018 15:36:54.383098,3620993878.4471,0.063996459357441,0.013357
9/28/2018 15:36:54.383599,3620993878.9481,0.064497487619519,0.012867
9/28/2018 15:36:54.384100,3620993879.4491,0.064998515881598,0.012409
9/28/2018 15:36:54.384601,3620993879.9501,0.065499544143677,0.011997
9/28/2018 15:36:54.385102,3620993880.4511,0.066001201048493,0.011645
9/28/2018 15:36:54.385603,3620993880.9521,0.066502229310572,0.011366
9/28/2018 15:36:54.386096,3620993881.4531,0.066994456574321,0.011171
9/28/2018 15:36:54.386597,3620993881.9541,0.0674954848364,0.011069
9/28/2018 15:36:54.387098,3620993882.4551,0.067996513098478,0.011062
9/28/2018 15:36:54.387599,3620993882.9561,0.068498170003295,0.011153
9/28/2018 15:36:54.388100,3620993883.4571,0.068999198265374,0.011336
9/28/2018 15:36:54.388601,3620993883.9581,0.069500226527453,0.01161
9/28/2018 15:36:54.389102,3620993884.4591,0.070001254789531,0.011963
9/28/2018 15:36:54.389595,3620993884.9601,0.07049348205328,0.012382
9/28/2018 15:36:54.390096,3620993885.4611,0.070995138958097,0.012848
9/28/2018 15:36:54.390597,3620993885.9621,0.071496167220175,0.013344
9/28/2018 15:36:54.391098,3620993886.4631,0.071997195482254,0.013855
9/28/2018 15:36:54.391599,3620993886.9641,0.072498223744333,0.014366
9/28/2018 15:36:54.392100,3620993887.4651,0.072999252006412,0.014861
9/28/2018 15:36:54.392601,3620993887.9661,0.07350028026849,0.015321
9/28/2018 15:36:54.393102,3620993888.4671,0.074001308530569,0.015729
9/28/2018 15:36:54.393595,3620993888.9681,0.074494164437056,0.016072
9/28/2018 15:36:54.394096,3620993889.4691,0.074995192699134,0.016338
9/28/2018 15:36:54.394597,3620993889.9701,0.075496220961213,0.016519
9/28/2018 15:36:54.395098,3620993890.4711,0.075997249223292,0.016607
9/28/2018 15:36:54.395599,3620993890.9721,0.076498277485371,0.0166
9/28/2018 15:36:54.396101,3620993891.4731,0.076999934390187,0.016498
9/28/2018 15:36:54.396602,3620993891.9741,0.077500962652266,0.01631
9/28/2018 15:36:54.397094,3620993892.4751,0.077993189916015,0.016043
9/28/2018 15:36:54.397595,3620993892.9761,0.078494218178094,0.015705
9/28/2018 15:36:54.398096,3620993893.4771,0.078995246440172,0.015302
