"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.037292480E-1,-1.588592529E-1,-1.705627441E-1,9.792526245E0,9.795299800E0
6.061096190E-1,-1.492919922E-1,-1.515197754E-1,9.783004761E0,9.785316985E0
6.084899900E-1,-1.540679932E-1,-1.610412598E-1,9.787780762E0,9.790317843E0
6.108398430E-1,-1.588592529E-1,-1.658020020E-1,9.783004761E0,9.785699194E0
6.132202150E-1,-1.492919922E-1,-1.562805176E-1,9.783004761E0,9.785391860E0
6.156005860E-1,-1.636505127E-1,-1.610412598E-1,9.806793213E0,9.809480562E0
6.179809570E-1,-1.779785156E-1,-1.372375488E-1,9.802047729E0,9.804623919E0
6.203613280E-1,-1.923217773E-1,-1.562805176E-1,9.835327148E0,9.838448627E0
6.227416990E-1,-2.019042969E-1,-1.658020020E-1,9.797286987E0,9.800769764E0
6.251220700E-1,-1.875457764E-1,-1.658020020E-1,9.783004761E0,9.786206919E0
6.275024410E-1,-1.588592529E-1,-1.562805176E-1,9.797286987E0,9.799821028E0
6.298522950E-1,-1.397247314E-1,-1.896057129E-1,9.783004761E0,9.785839539E0
6.322326660E-1,-1.875457764E-1,-2.038879395E-1,9.802047729E0,9.805961626E0
6.346130370E-1,-1.732025146E-1,-1.991119385E-1,9.797286987E0,9.800840627E0
6.369934080E-1,-1.875457764E-1,-1.610412598E-1,9.763992310E0,9.767121046E0
6.393737790E-1,-1.732025146E-1,-1.800842285E-1,9.787780762E0,9.790969394E0
6.417541500E-1,-1.540679932E-1,-1.800842285E-1,9.778244019E0,9.781115650E0
6.441345210E-1,-1.540679932E-1,-2.038879395E-1,9.787780762E0,9.791116355E0
6.465148920E-1,-1.684112549E-1,-1.943664551E-1,9.783004761E0,9.786384563E0
6.488647460E-1,-1.875457764E-1,-1.753234863E-1,9.816314697E0,9.819671378E0
6.512451170E-1,-1.732025146E-1,-1.991119385E-1,9.787780762E0,9.791337851E0
6.536254880E-1,-1.684112549E-1,-1.610412598E-1,9.792526245E0,9.795298204E0
6.560058590E-1,-1.875457764E-1,-1.943664551E-1,9.763992310E0,9.767727349E0
6.583862300E-1,-1.779785156E-1,-2.086334229E-1,9.792526245E0,9.796365373E0
6.607666010E-1,-1.540679932E-1,-1.658020020E-1,9.821060181E0,9.823667865E0
6.631469720E-1,-1.923217773E-1,-1.800842285E-1,9.787780762E0,9.791326276E0
6.655273430E-1,-1.875457764E-1,-1.991119385E-1,9.759231567E0,9.763064056E0
6.679077150E-1,-1.923217773E-1,-2.133941650E-1,9.783004761E0,9.787221612E0
6.702575680E-1,-1.732025146E-1,-2.086334229E-1,9.792526245E0,9.796279767E0
6.726379390E-1,-1.779785156E-1,-2.086334229E-1,9.787780762E0,9.791621750E0
6.750183100E-1,-1.827697754E-1,-1.800842285E-1,9.811553955E0,9.814908361E0
6.773986810E-1,-1.875457764E-1,-1.943664551E-1,9.835327148E0,9.839035108E0
6.797790520E-1,-1.588592529E-1,-1.991119385E-1,9.783004761E0,9.786320247E0
6.821594240E-1,-1.684112549E-1,-1.800842285E-1,9.797286987E0,9.800389022E0
6.845397950E-1,-1.923217773E-1,-1.896057129E-1,9.811553955E0,9.815270195E0
6.869201660E-1,-1.779785156E-1,-1.896057129E-1,9.816314697E0,9.819758699E0
6.892700190E-1,-1.827697754E-1,-1.991119385E-1,9.787780762E0,9.791511762E0
6.916503900E-1,-2.066650391E-1,-1.991119385E-1,9.816314697E0,9.820508655E0
6.940307610E-1,-1.636505127E-1,-1.848449707E-1,9.797286987E0,9.800397005E0
6.964111330E-1,-1.827697754E-1,-2.038879395E-1,9.806793213E0,9.810615078E0
6.987915040E-1,-1.971130371E-1,-2.038879395E-1,9.773498535E0,9.777612053E0
7.011718750E-1,-1.588592529E-1,-1.943664551E-1,9.806793213E0,9.810005489E0
7.035522460E-1,-1.827697754E-1,-1.610412598E-1,9.806793213E0,9.809818153E0
7.059326170E-1,-1.684112549E-1,-1.896057129E-1,9.759231567E0,9.762525978E0
7.082824700E-1,-1.779785156E-1,-1.943664551E-1,9.773498535E0,9.777051104E0
7.106628420E-1,-1.923217773E-1,-1.800842285E-1,9.773498535E0,9.777049228E0
7.130432130E-1,-1.588592529E-1,-1.705627441E-1,9.778244019E0,9.781021623E0
7.154235840E-1,-1.636505127E-1,-1.896057129E-1,9.783004761E0,9.786210399E0
7.178039550E-1,-1.636505127E-1,-1.896057129E-1,9.783004761E0,9.786210399E0
7.201843260E-1,-1.779785156E-1,-1.705627441E-1,9.802047729E0,9.805147000E0
7.225646970E-1,-1.875457764E-1,-1.610412598E-1,9.768737793E0,9.771865010E0
7.249450680E-1,-1.732025146E-1,-1.848449707E-1,9.783004761E0,9.786283714E0
